question,date,horizon_hours,total_cost,emergency_kwh,end_soc_kwh,first_commitment_kwh,first_discharge_kwh,solve_seconds,max_residual,backend,n_scenarios
Q4-3,2025-02-01,12,39133.40121986233,25.61311111111155,9275.468220471925,1389.9167876344086,0.0,1.0094438000232913,0.0,event-policy,3
Q4-3,2025-02-01,18,39133.40121986233,25.61311111111155,9275.468220471925,1389.9167876344086,0.0,1.135684399981983,0.0,event-policy,3
Q4-3,2025-02-01,24,39133.40121986233,25.61311111111155,9275.468220471925,1389.9167876344086,0.0,1.5298873000429012,0.0,event-policy,3
Q4-3,2025-05-01,12,70503.11976641016,7514.215713865225,5315.014042982512,533.231065972222,0.0,0.6159824999631383,1.1368683772161603e-13,event-policy,3
Q4-3,2025-05-01,18,70510.84396629909,7514.215713865225,5320.236621560546,533.231065972222,0.0,0.6579189999611117,1.1368683772161603e-13,event-policy,3
Q4-3,2025-05-01,24,68753.51329453368,7547.7852971985585,5320.608527764654,533.231065972222,0.0,1.041508399968734,1.1368683772161603e-13,event-policy,3
Q4-3,2025-08-01,12,29762.73962872757,381.59341910377236,6200.244483037457,575.5493698899371,0.0,0.862489999999525,0.0,event-policy,3
Q4-3,2025-08-01,18,29755.661606907997,389.28925243710574,6175.032711244614,575.5493698899371,0.0,0.9315164999570698,0.0,event-policy,3
Q4-3,2025-08-01,24,29707.40281368332,388.13924825843014,6190.66096128213,575.5493698899371,0.0,1.1297125999990385,0.0,event-policy,3
Q4-3,2025-11-01,12,32009.955947488485,5.684341886080802e-14,9772.541579312287,1414.253389254386,0.0,0.6965952000173274,0.0,event-policy,3
Q4-3,2025-11-01,18,32009.955947488485,5.684341886080802e-14,9772.430779744385,1414.253389254386,0.0,0.7472801000403706,0.0,event-policy,3
Q4-3,2025-11-01,24,32009.955947488488,5.684341886080802e-14,9623.929656865412,1414.253389254386,0.0,1.067580499977339,0.0,event-policy,3
