date,revision_hours,total_cost,emergency_energy,emergency_intervals,minimum_soc,end_soc,elapsed_seconds,solve_count,executed_steps,verified
2025-02-01,,24440.063646222705,332.0639004629627,17,2021.947471193416,6525.414190329216,5.703692800016142,1,144,True
2025-02-01,6,24696.67738691935,385.91129560185175,20,2032.5275875385776,6535.994306674377,9.53899490000913,2,144,True
2025-02-01,12,24464.150371803724,336.9782124999998,18,2001.685244074073,6505.1519632098725,9.722333400015486,2,144,True
2025-02-01,18,24440.070835647704,332.0650449074072,17,2021.948742798353,6412.495650761315,9.834608899982413,2,144,True
2025-02-01,6+12,24855.577449262586,381.8805400462962,20,1913.5042812037025,6416.971000339502,25.992474099999527,3,144,True
2025-02-01,6+18,24696.67738691935,385.91129560185175,20,2032.5275875385776,6423.071253001539,13.055637300014496,3,144,True
2025-02-01,12+18,24464.150371803724,336.9782124999998,18,2001.685244074073,6460.919086324585,13.579343899997184,3,144,True
2025-02-01,6+12+18,24855.577449262586,381.88054004629623,20,1913.5042812037025,6352.043922425158,34.03632809998817,4,144,True
2025-05-01,,51315.79676190027,3868.4036109212243,71,1316.636906195701,5389.85131919334,23.43604990001768,1,144,True
2025-05-01,6,48989.372563044555,3091.812470533851,57,1200.0,5273.214412997639,34.126471600000514,2,144,True
2025-05-01,12,51883.184889405886,3920.505229365253,70,1200.0,5273.214412997639,34.313544199976604,2,144,True
2025-05-01,18,49011.04201520188,3361.398635615669,70,1261.7185972222212,5334.93301021986,28.190100000007078,2,144,True
2025-05-01,6+12,49781.86304358089,3169.3042561939196,57,1200.0,5273.214412997639,37.144944700005,3,144,True
2025-05-01,6+18,46294.70226155668,2471.348443560671,56,1254.5629647386102,5327.777377736249,31.807466500002192,3,144,True
2025-05-01,12+18,49380.172139156944,3334.794626589045,69,1253.1597345679036,5326.374147565542,31.822945599997183,3,144,True
2025-05-01,6+12+18,46727.45794274306,2470.237760325454,56,1255.3015841136091,5328.515997111248,40.47364740000921,4,144,True
2025-08-01,,30077.20306274415,1570.5543618055553,40,1473.7867121913573,5892.683212191358,3.8889244999736547,1,144,True
2025-08-01,6,30603.3857012078,1681.2833175925919,45,1489.870767530656,5908.767267530657,9.138365899998462,2,144,True
2025-08-01,12,30370.12775954623,1619.4893217592585,41,1528.1588899176932,5834.8650548996875,6.357713300007163,2,144,True
2025-08-01,18,27671.811917531893,1069.100129861111,38,1348.6691558641967,5667.933352757202,8.077313699992374,2,144,True
2025-08-01,6+12,30777.087697621228,1709.386975925925,45,1440.2166178687294,5850.714944560188,13.43895790001261,3,144,True
2025-08-01,6+18,28120.726329801026,1168.4769148148146,43,1348.6691558641967,5667.933352757201,13.210793300007936,3,144,True
2025-08-01,12+18,27707.05330195533,1080.2003745370369,39,1348.6691558641967,5681.44885449332,11.437285599997267,3,144,True
2025-08-01,6+12+18,28259.603755448556,1169.5449037037038,43,1348.0545725308627,5665.268104369855,18.569433800003026,4,144,True
2025-11-01,,20748.20319766591,956.9907621401758,40,1438.8510908930284,6145.0857799362975,4.641387899988331,1,144,True
2025-11-01,6,20787.05317730375,969.5572255924505,40,1429.3720039979607,6238.834021404492,7.872638499975437,2,144,True
2025-11-01,12,20679.334550134503,941.8269270661866,40,1438.8510908930284,6287.744875191519,10.019920999999158,2,144,True
2025-11-01,18,20748.1472862298,956.981810751287,40,1438.8510908930284,6137.493643529403,8.290975600015372,2,144,True
2025-11-01,6+12,20623.105268786647,933.2957488606258,39,1429.3720039979607,6298.713290221392,14.922953800007235,3,144,True
2025-11-01,6+18,20787.05317730375,969.5572255924505,40,1429.3720039979607,6184.52116953333,13.678652599977795,3,144,True
2025-11-01,12+18,20679.334550134503,941.8269270661866,40,1438.8510908930284,6210.181939833471,16.35141079997993,3,144,True
2025-11-01,6+12+18,20623.105268786647,933.2957488606258,39,1429.3720039979607,6215.861854707569,21.482398499996634,4,144,True
