operating_date,timestamp,executed,baseline,final_commitment,load_energy,pv_energy,price,charge,discharge,emergency,spill,mode,soc_before,soc_after
2025-01-01,2025-01-01T00:10:00,True,0.0,0.0,588.2882666666667,0.0,0.4248,0.0,588.2882666666667,0.0,0.0,0.0,6000.0,5346.34637037037
2025-01-01,2025-01-01T00:20:00,True,0.0,0.0,601.5881166666666,0.0,0.4245,0.0,601.5881166666666,0.0,0.0,0.0,5346.34637037037,4677.9151296296295
2025-01-01,2025-01-01T00:30:00,True,0.0,0.0,621.0933333333332,0.0,0.4269,0.0,621.0933333333332,0.0,0.0,0.0,4677.9151296296295,3987.811425925926
2025-01-01,2025-01-01T00:40:00,True,0.0,0.0,585.1051833333333,0.0,0.4272,0.0,585.1051833333333,0.0,0.0,0.0,3987.811425925926,3337.694555555556
2025-01-01,2025-01-01T00:50:00,True,0.0,0.0,583.7604166666666,0.0,0.4271,0.0,583.7604166666666,0.0,0.0,0.0,3337.694555555556,2689.0718703703706
2025-01-01,2025-01-01T01:00:00,True,0.0,0.0,631.1683333333333,0.0,0.4285,0.0,631.1683333333333,0.0,0.0,0.0,2689.0718703703706,1987.7737222222224
2025-01-01,2025-01-01T01:10:00,True,0.0,0.0,650.0534166666666,0.0,0.4311,0.0,650.0534166666665,0.0,0.0,0.0,1987.7737222222224,1265.4921481481485
2025-01-01,2025-01-01T01:20:00,True,0.0,0.0,652.8062666666666,0.0,0.4302,0.0,58.942933333333684,593.863333333333,0.0,0.0,1265.4921481481485,1200.0
2025-01-01,2025-01-01T01:30:00,True,0.0,0.0,636.2133333333334,0.0,0.4279,0.0,0.0,636.2133333333334,0.0,0.0,1200.0,1200.0
2025-01-01,2025-01-01T01:40:00,True,0.0,0.0,588.8356,0.0,0.4312,0.0,0.0,588.8356,0.0,0.0,1200.0,1200.0
2025-01-01,2025-01-01T01:50:00,True,0.0,0.0,615.7768833333333,0.0,0.4333,0.0,0.0,615.7768833333333,0.0,0.0,1200.0,1200.0
