场景数,随机种子,平均日成本_元
3,7,45528.2503391519
3,2025,45383.484117088214
3,99173,45439.528989427345
6,7,46023.44205481369
6,2025,45838.634152079576
6,99173,45096.39262912492
12,7,46555.581967224134
12,2025,45739.69433541245
12,99173,45728.27614730198

场景数,最低平均日成本,最高平均日成本,跨度
3,45383.484117088214,45528.2503391519,144.76622206368484
6,45096.39262912492,46023.44205481369,927.0494256887687
12,45728.27614730198,46555.581967224134,827.3058199221559
