方法,MAE_kW,RMSE_kW,Bias_kW
前一日同时段,744.2247512703758,1187.2197461614771,6.222816851713233
上周同日同时段,327.7708114624917,486.4685254107146,2.7640641279940077
最近7日均值,794.968243845345,1006.5250674095903,4.12560023554082
最近4个同星期日均值,370.00539352648866,520.5253615364898,2.1312192822688125
