场景数,随机种子,平均计划费_元,平均紧急费_元,平均日总成本_元,平均日应急电量_kWh,正式参数复现最大购电误差_kWh
3,7,43399.3489563329,4728.088310986282,48127.43726731919,1001.5395544449437,
3,2025,42155.14786883631,5980.766201302881,48135.914070139195,1239.4623848377576,
3,99173,42102.794285159354,6181.87845470985,48284.67273986921,1285.2335292622827,
6,7,42916.73148294015,5633.6904673778035,48550.42195031795,1180.502103790689,
6,2025,42816.157360990794,5933.192840430574,48749.350201421374,1308.6073712837538,
6,99173,42246.12126165675,5718.985738404385,47965.10700006114,1212.969014118444,
12,7,43217.014542727506,5995.573782527225,49212.58832525473,1294.4348687302183,
12,2025,42963.09973014262,5521.347174970051,48484.446905112665,1188.589275100903,0.0
12,99173,42842.898318165724,5515.062872555206,48357.96119072093,1172.047165888345,
